Player,Avg_SG_T2G,SG:OTT,SG:APR,SG:ARG,SG:Measured_Rounds,Avg_SG_Putting,Total SG:Putting,Scoring_Avg,Total Strokes,Scrambling_%,Par or Better,Missed GIR,Avg_Drive_Distance,Total Drives,GIR_%,Total_Greens_Hit,# Holes,Avg_Prox_Hole_Fair,#_of_Attempts_Fair,Going_4_Green_%,Successes,Attempts,Avg_DTP_ARG,# of Shots,Driving_Acc_%,Fairways Hit,Possible Fairways
Aaron Baddeley,0.053,-0.423,0.025,0.534,40.0,0.351,14.043,70.615,"3,910",66.29%,234.0,353.0,281.7,112.0,64.98%,655,"1,008","38' 5""",716,13.24%,9.0,68.0,"6' 10""",270.0,58.72%,441.0,751
Aaron Rai,0.882,0.265,0.39,0.136,63.0,-0.391,-24.66,70.655,"5,408",58.76%,255.0,434.0,292.9,154.0,68.69%,952,"1,386","38' 10""","1,122",14.84%,23.0,155.0,"7' 11""",426.0,67.69%,685.0,"1,012"
Aaron Wise,-0.696,-0.17,-0.795,0.228,35.0,0.559,19.561,71.135,"2,878",58.76%,161.0,274.0,301.4,82.0,62.87%,464,738,"42' 4""",616,23.40%,22.0,94.0,"8' 2""",244.0,58.97%,322.0,546
Adam Hadwin,0.469,0.048,0.35,0.103,55.0,0.356,19.6,70.447,"4,342",63.34%,235.0,371.0,294.1,124.0,66.76%,745,"1,116","38' 6""",982,20.63%,26.0,126.0,"8' 0""",354.0,63.65%,513.0,806
Adam Long,-0.67,-0.285,-0.539,0.094,59.0,0.406,23.95,71.509,"5,468",58.67%,301.0,513.0,288.6,154.0,62.99%,873,"1,386","40' 11""","1,057",14.68%,16.0,109.0,"7' 5""",417.0,64.65%,651.0,"1,007"
Adam Schenk,0.271,0.024,0.099,0.106,65.0,0.355,23.049,70.596,"5,561",63.91%,317.0,496.0,305.0,158.0,65.12%,926,"1,422","39' 9""","1,166",24.29%,34.0,140.0,"7' 4""",432.0,54.61%,598.0,"1,095"
Adam Scott,0.458,0.569,-0.124,0.201,40.0,0.378,15.138,70.625,"3,096",59.09%,169.0,286.0,312.1,88.0,63.89%,506,792,"39' 5""",707,24.14%,28.0,116.0,"8' 2""",286.0,53.71%,333.0,620
Adam Svensson,0.27,0.114,0.241,0.081,62.0,0.412,25.516,70.828,"5,070",63.44%,288.0,454.0,291.2,144.0,64.97%,842,"1,296","38' 1""","1,110",24.49%,36.0,147.0,"7' 4""",427.0,60.86%,594.0,976
Akshay Bhatia,0.547,0.287,0.421,-0.243,33.0,-0.509,-16.792,70.416,"3,223",57.04%,154.0,270.0,302.9,92.0,67.39%,558,828,"36' 9""",587,27.16%,22.0,81.0,"8' 10""",216.0,60.65%,353.0,582
Alex Noren,-0.053,-0.444,-0.023,0.431,44.0,0.461,20.283,70.948,"3,553",61.43%,215.0,350.0,300.0,100.0,61.11%,550,900,"40' 9""",787,16.13%,15.0,93.0,"7' 5""",332.0,51.44%,357.0,694
Alex Smalley,0.637,0.258,0.236,0.056,62.0,-0.261,-16.163,70.683,"5,361",61.57%,274.0,445.0,301.4,152.0,67.47%,923,"1,368","37' 5""","1,107",17.69%,23.0,130.0,"7' 7""",397.0,58.01%,576.0,993
Andrew Landry,-1.315,-0.037,-1.173,-0.024,35.0,-0.184,-6.423,72.671,"3,233",62.08%,203.0,327.0,286.6,90.0,59.63%,483,810,"38' 0""",615,14.04%,8.0,57.0,"7' 9""",247.0,63.97%,364.0,569
Andrew Novak,0.268,-0.179,0.137,0.221,41.0,0.43,17.65,70.871,"4,150",64.77%,239.0,369.0,296.1,118.0,65.25%,693,"1,062","37' 9""",732,28.89%,26.0,90.0,"7' 1""",276.0,56.77%,432.0,761
Andrew Putnam,0.183,-0.389,0.447,0.115,62.0,0.649,40.253,70.197,"5,230",65.98%,289.0,438.0,285.2,150.0,67.56%,912,"1,350","40' 0""","1,109",18.70%,23.0,123.0,"7' 7""",379.0,63.84%,662.0,"1,037"
Augusto Núñez,0.145,-0.041,0.025,0.062,39.0,-0.415,-16.194,71.46,"4,171",62.57%,214.0,342.0,308.3,118.0,67.80%,720,"1,062","38' 2""",697,26.80%,26.0,97.0,"7' 5""",249.0,55.13%,435.0,789
Austin Cook,-0.507,-0.667,-0.105,0.236,35.0,-0.268,-9.383,71.651,"3,908",64.23%,237.0,369.0,282.2,110.0,62.73%,621,990,"38' 10""",626,8.70%,4.0,46.0,"7' 4""",241.0,64.84%,474.0,731
Austin Eckroat,0.411,0.423,0.022,-0.033,47.0,0.114,5.356,70.88,"4,492",63.00%,252.0,400.0,299.6,128.0,65.28%,752,"1,152","37' 5""",838,20.69%,24.0,116.0,"8' 8""",313.0,63.70%,565.0,887
Austin Smotherman,-0.395,0.019,-0.118,-0.202,54.0,0.029,1.576,71.466,"4,541",58.94%,257.0,436.0,298.8,128.0,62.15%,716,"1,152","37' 0""",965,29.57%,34.0,115.0,"7' 8""",361.0,59.16%,491.0,830
Beau Hossler,0.093,0.116,-0.546,0.386,58.0,0.137,7.958,70.63,"5,064",62.00%,292.0,471.0,304.8,144.0,63.66%,825,"1,296","41' 6""","1,028",19.46%,29.0,149.0,"7' 7""",417.0,55.88%,556.0,995
Ben Griffin,0.371,-0.005,-0.009,0.358,61.0,0.241,14.7,70.354,"5,248",61.65%,299.0,485.0,301.9,150.0,64.07%,865,"1,350","37' 10""","1,089",20.97%,26.0,124.0,"7' 0""",412.0,52.64%,548.0,"1,041"
Ben Martin,0.225,0.039,0.668,-0.408,55.0,0.026,1.437,70.788,"4,987",58.88%,242.0,411.0,294.1,142.0,67.84%,867,"1,278","37' 2""",983,11.97%,14.0,117.0,"8' 0""",343.0,63.25%,604.0,955
