Rank,,Player,Avg_SG_T2G,SG:OTT,SG:APR,SG:ARG,SG:Measured_Rounds,Avg_SG_Putting,Total SG:Putting,Putting_Measured_Rounds,Scoring_Avg,Total Strokes,Total Adjustment,Total_Scoring_Rounds,Scrambling_%,Par or Better,Missed GIR,Avg_Drive_Distance,Total_Drive_Distance,Total Drives,GIR_%,Total_Greens_Hit,# Holes,Relative/Par,Avg_Prox_Hole_Fair,Total_Distance_Fair,#_of_Attempts_Fair,GIR Rank,Going_4_Green_%,Successes,Attempts,RTP-Successes,RTP-Not going for the grn,Avg_DTP_ARG,Total_Distance_ARG,# of Shots,Scrambling Rank,Driving_Acc_%,Fairways Hit,Possible Fairways
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-,Scottie Scheffler,2.775,1.096,1.207,0.458,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Jon Rahm,1.847,0.543,1.062,0.134,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Rory McIlroy,1.841,0.928,0.598,0.362,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-,Tony Finau,1.650,0.376,0.900,0.253,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-,Collin Morikawa,1.574,0.428,1.135,-0.007,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-,Patrick Cantlay,1.563,0.949,0.483,0.056,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-,Tyrrell Hatton,1.465,0.672,0.621,0.155,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-,Xander Schauffele,1.394,0.338,0.888,0.148,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-,Kevin Yu,1.391,0.912,0.486,-0.007,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-,Tommy Fleetwood,1.322,0.234,0.400,0.458,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-,Viktor Hovland,1.298,0.717,0.661,-0.089,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-,Rickie Fowler,1.250,0.176,0.752,0.244,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-,Jason Day,1.209,0.448,0.498,0.285,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-,Si Woo Kim,1.171,0.412,0.575,0.162,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-,Justin Thomas,1.135,0.233,0.428,0.436,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,Max Homa,1.080,0.138,0.655,0.254,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,Shane Lowry,1.072,0.488,0.629,-0.031,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
